,asset,time,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
1019,btc,2016-10-16T00:00:00.000000000Z,490575,1.70485941,10243420099.57793416622661157663,1670660.61871558,56.81575774,642.913042548217,15932823.60391639,199250,180291885.67962299597604015148,60.8162100157248
1020,btc,2016-10-17T00:00:00.000000000Z,544749,1.69213973,10184264279.61669989031962097738,1606404.44107267,40.09975741,639.137536469901,15934386.10391538,238183,253973214.2349680940044708409,60.8441029142811
1021,btc,2016-10-18T00:00:00.000000000Z,585111,1.6808924,10128752915.95371822100579272033,1991941.50693011,36.82789505,635.576508591467,15936323.60390499,249735,275029373.84512685842573091198,60.8816970917085
1022,btc,2016-10-19T00:00:00.000000000Z,456808,1.66452177,10035141891.05727793085701595876,1606404.44107267,42.46384119,629.640708036236,15937886.10389491,193769,236322047.41045417161401656588,60.8882071350365
1023,btc,2016-10-20T00:00:00.000000000Z,624972,1.66126571,10019590594.07234392547068034058,1722065.5608299,33.29970687,628.598901110462,15939561.10386459,277747,300891255.09779257545478859798,60.9450967088982
1024,btc,2016-10-21T00:00:00.000000000Z,574916,1.66533193,10057661337.4500058251411336333,2107602.62668734,44.25695109,630.90620338983,15941611.10385451,259442,227256082.7347785364221283254,61.0190094663665
1025,btc,2016-10-22T00:00:00.000000000Z,530899,1.72581278,10435141081.46139820530664437687,1906300.95008226,57.22942166,654.508630976037,15943473.60385451,218408,182338747.77024194616396345474,60.9983782867474
1026,btc,2016-10-23T00:00:00.000000000Z,527890,1.71807394,10395711779.67705547261592201538,1815470.1249901,69.32516274,651.961956750438,15945273.60383451,192661,149955822.23560107977989389678,61.0207635633516
1027,btc,2016-10-24T00:00:00.000000000Z,582797,1.71141678,10366022953.71365045034876755817,1802862.69356655,44.27772957,650.027167153711,15947061.10377447,224654,234113696.74526552058667135129,61.1388070537597
1028,btc,2016-10-25T00:00:00.000000000Z,620214,1.72432365,10459102589.22524093136705843732,1752432.96787238,39.90549802,655.792505084746,15948798.60341442,238454,262096781.32830314823465560722,61.2161554912828
1029,btc,2016-10-26T00:00:00.000000000Z,613266,1.77111563,10768355905.42589714655098204538,1739825.53644884,38.57936356,675.109869316189,15950523.60341442,221774,279122175.96877272703999371165,61.2290504576069
1030,btc,2016-10-27T00:00:00.000000000Z,724529,1.79615707,10951796742.25678684299830452068,2042403.89061386,30.87304964,686.523327060199,15952548.60334332,332576,354736473.02895518889006324032,61.3040598795637
1031,btc,2016-10-28T00:00:00.000000000Z,560747,1.80415758,11014802220.44680610856018879816,1916329.57637844,37.52738473,690.390654938632,15954448.60334313,244692,293513718.00485420821646556608,61.2324735780876
1032,btc,2016-10-29T00:00:00.000000000Z,542123,1.8651885,11415870485.8864216988688514459,1878507.28210781,39.6828924,715.445469316189,15956311.1033431,231604,287677379.2575080274503306384,61.1598189466108
